    PID CMD
   2325 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=2317 --enable-crash-reporter=42c9cd50-246c-410b-8a68-72e26a227bc4, --change-stack-guard-on-fork=enable
      3 [pool_workqueue_release]
  15620 ps -eo pid,cmd --sort cmd
    469 [psimon]
  10349 [psimon]
     17 [rcu_preempt]
     13 [rcu_tasks_kthread]
     14 [rcu_tasks_rude_kthread]
     15 [rcu_tasks_trace_kthread]
     73 [scsi_eh_0]
     75 [scsi_eh_1]
    192 [scsi_eh_10]
    194 [scsi_eh_11]
    196 [scsi_eh_12]
    198 [scsi_eh_13]
    200 [scsi_eh_14]
    202 [scsi_eh_15]
    204 [scsi_eh_16]
    206 [scsi_eh_17]
    208 [scsi_eh_18]
    210 [scsi_eh_19]
    176 [scsi_eh_2]
    212 [scsi_eh_20]
    214 [scsi_eh_21]
    216 [scsi_eh_22]
    218 [scsi_eh_23]
    220 [scsi_eh_24]
    222 [scsi_eh_25]
    224 [scsi_eh_26]
    226 [scsi_eh_27]
    228 [scsi_eh_28]
    230 [scsi_eh_29]
    178 [scsi_eh_3]
    232 [scsi_eh_30]
    234 [scsi_eh_31]
    180 [scsi_eh_4]
    182 [scsi_eh_5]
    184 [scsi_eh_6]
    186 [scsi_eh_7]
    188 [scsi_eh_8]
    190 [scsi_eh_9]
   1299 (sd-pam)
   2003 /snap/snapd-desktop-integration/178/usr/bin/snapd-desktop-integration
   2055 /snap/snapd-desktop-integration/178/usr/bin/snapd-desktop-integration
  15621 tee processes.txt
   1532 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   1326 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2128 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   1626 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   1318 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
   1529 /usr/bin/gnome-shell
   1637 /usr/bin/ibus-daemon --panel disable
   3774 /usr/bin/nautilus --gapplication-service
   1308 /usr/bin/pipewire
   1309 /usr/bin/pipewire -c filter-chain.conf
   1313 /usr/bin/pipewire-pulse
   1247 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   2617 /usr/bin/update-notifier
   1311 /usr/bin/wireplumber
   2227 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.CD6XS2 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
   1007 /usr/libexec/accounts-daemon
   1577 /usr/libexec/at-spi2-registryd --use-gnome-session
   1518 /usr/libexec/at-spi-bus-launcher --launch-immediately
   1578 /usr/libexec/colord
   1962 /usr/libexec/dconf-service
   1914 /usr/libexec/evolution-addressbook-factory
   1881 /usr/libexec/evolution-calendar-factory
   1717 /usr/libexec/evolution-data-server/evolution-alarm-notify
   1614 /usr/libexec/evolution-source-registry
   1438 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   1350 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
    980 /usr/libexec/gnome-remote-desktop-daemon --system
   1362 /usr/libexec/gnome-session-binary --session=ubuntu
   1469 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   1439 /usr/libexec/gnome-session-ctl --monitor
   1607 /usr/libexec/gnome-shell-calendar-server
   2847 /usr/libexec/gnome-terminal-server
   1836 /usr/libexec/goa-daemon
   1878 /usr/libexec/goa-identity-service
   1638 /usr/libexec/gsd-a11y-settings
   1639 /usr/libexec/gsd-color
   1641 /usr/libexec/gsd-datetime
   1700 /usr/libexec/gsd-disk-utility-notify
   1646 /usr/libexec/gsd-housekeeping
   1647 /usr/libexec/gsd-keyboard
   1648 /usr/libexec/gsd-media-keys
   1659 /usr/libexec/gsd-power
   1822 /usr/libexec/gsd-printer
   1662 /usr/libexec/gsd-print-notifications
   1664 /usr/libexec/gsd-rfkill
   1668 /usr/libexec/gsd-screensaver-proxy
   1670 /usr/libexec/gsd-sharing
   1671 /usr/libexec/gsd-smartcard
   1675 /usr/libexec/gsd-sound
   1676 /usr/libexec/gsd-wacom
   2231 /usr/libexec/gsd-xsettings
   1888 /usr/libexec/gvfs-afc-volume-monitor
   1455 /usr/libexec/gvfsd
   2783 /usr/libexec/gvfsd-dnssd --spawner :1.20 /org/gtk/gvfs/exec_spaw/4
   1461 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   2152 /usr/libexec/gvfsd-metadata
   2769 /usr/libexec/gvfsd-network --spawner :1.20 /org/gtk/gvfs/exec_spaw/2
   2276 /usr/libexec/gvfsd-recent --spawner :1.20 /org/gtk/gvfs/exec_spaw/1
   1981 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
   1897 /usr/libexec/gvfs-goa-volume-monitor
   1912 /usr/libexec/gvfs-gphoto2-volume-monitor
   1902 /usr/libexec/gvfs-mtp-volume-monitor
   1842 /usr/libexec/gvfs-udisks2-volume-monitor
   1941 /usr/libexec/ibus-engine-simple
   1798 /usr/libexec/ibus-extension-gtk3
   1796 /usr/libexec/ibus-memconf
   1814 /usr/libexec/ibus-portal
   2252 /usr/libexec/ibus-x11
   2257 /usr/libexec/mutter-x11-frames
   9115 /usr/libexec/packagekitd
    993 /usr/libexec/power-profiles-daemon
   1340 /usr/libexec/rtkit-daemon
   1015 /usr/libexec/switcheroo-control
   2111 /usr/libexec/tracker-miner-fs-3
   1026 /usr/libexec/udisks2/udisksd
   1627 /usr/libexec/upowerd
   2046 /usr/libexec/xdg-desktop-portal
   2112 /usr/libexec/xdg-desktop-portal-gnome
   2153 /usr/libexec/xdg-desktop-portal-gtk
   1345 /usr/libexec/xdg-document-portal
   1356 /usr/libexec/xdg-permission-store
    988 /usr/lib/polkit-1/polkitd --no-debug
   1001 /usr/lib/snapd/snapd
    389 /usr/lib/systemd/systemd-journald
   1006 /usr/lib/systemd/systemd-logind
    883 /usr/lib/systemd/systemd-oomd
    900 /usr/lib/systemd/systemd-resolved
      1 /usr/lib/systemd/systemd --system --deserialize=99 splash
    907 /usr/lib/systemd/systemd-timesyncd
    450 /usr/lib/systemd/systemd-udevd
   1298 /usr/lib/systemd/systemd --user
    973 /usr/sbin/anacron -d -q -s
   1009 /usr/sbin/cron -f -P
   1282 /usr/sbin/cups-browsed
   1241 /usr/sbin/cupsd -l
   1261 /usr/sbin/gdm3
   1288 /usr/sbin/kerneloops
   1285 /usr/sbin/kerneloops --test
   1120 /usr/sbin/ModemManager
   1052 /usr/sbin/NetworkManager --no-daemon
   1042 /usr/sbin/rsyslogd -n -iNONE
   1053 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
     65 [watchdogd]
